NewApp,Postmaster General,Last,Office,Month,County,Year,President,Day,First
0,26,Jackson,AMPHION,9,Atascosa,1892,15,22,Bettie A.
0,27,Richardson,AMPHION,7,Atascosa,1897,17,31,Eugene W.
0,27,Richardson,AMPHION,10,Atascosa,1897,17,9,Edgar M.
1,26,Whittet,ANCHORAGE,1,Atascosa,1889,14,2,Thos.
1,26,Cleveland,ARP,3,Atascosa,1892,15,10,Willis P.
1,15,Miller,BELLE BRANCH,8,Atascosa,1871,9,7,Geo.
1,18,Hazelrigg,BENTON,11,Atascosa,1876,10,23,Ashton W.
0,19,Sweeten,BENTON,12,Atascosa,1877,11,4,Jos. R.
0,19,Hazelrigg,BENTON,1,Atascosa,1878,11,21,Ashton W.
0,19,Waller,BENTON,8,Atascosa,1879,11,18,Jas. L.
0,23,Barmore,BENTON,9,Atascosa,1884,13,8,Albert K.
0,24,Waller,BENTON,1,Atascosa,1885,13,14,Jas. L.
0,25,McCaleb,BENTON,6,Atascosa,1886,14,14,John L.
0,25,Johnson,BENTON,9,Atascosa,1887,14,19,Virgil A.
0,26,Waller,BENTON,4,Atascosa,1889,15,24,Jas. L.
0,26,Collins,BENTON,2,Atascosa,1891,15,9,Lee G.
0,28,White,BENTON,8,Atascosa,1898,17,23,Chas. H.
0,28,Jones,BENTON,2,Atascosa,1899,17,20,Walter E.
0,28,Riley,BENTON,4,Atascosa,1901,18,1,John F.
1,19,Campbell,CAMPBELLTON,8,Atascosa,1879,11,5,John
1,28,Crouch,CROWN,6,Atascosa,1900,17,14,John W.
1,21,Atkins,DITTO,3,Atascosa,1881,12,8,Geo. F.
0,25,Howard,DITTO,9,Atascosa,1887,14,8,Greenup J. H.
0,26,Young,DITTO,7,Atascosa,1888,14,18,Geo. W.
0,26,Hurley,DITTO,1,Atascosa,1896,16,6,Chas. C.
1,20,Childress,GALLINAS,9,Atascosa,1880,11,13,Sam.
0,26,Musgrave,GALLINAS,9,Atascosa,1895,16,11,J. Q.
0,26,Hesskew,GALLINAS,11,Atascosa,1895,16,25,Ed. A.
0,28,Neill,GALLINAS,11,Atascosa,1899,17,23,Jas. S.
1,17,Gates,GATES VALLEY,1,Atascosa,1876,10,11,Wm. N.
0,19,Thompson,GATES VALLEY,4,Atascosa,1878,11,23,Jasper N.
2,19,Forsyth,GATES VALLEY,2,Atascosa,1879,11,4,Nelson
1,25,Goodwin,IUKA,5,Atascosa,1886,14,6,Jas. R.
0,26,Robinson,IUKA,8,Atascosa,1888,14,4,Jonas
2,26,Crouch,IUKA,4,Atascosa,1893,16,10,John W.
0,26,Crawford,IUKA,12,Atascosa,1893,16,22,John W.
3,27,Morton,IUKA,8,Atascosa,1897,17,27,Wm. T.
1,20,Steinmetz,LAGUNA,1,Atascosa,1881,11,18,M. O.
1,26,Swindler,LOIRE,7,Atascosa,1895,16,17,Jas. M.
1,23,Garnand,LYTLE,9,Atascosa,1883,13,10,Wm. J.
0,26,House,LYTLE,4,Atascosa,1890,15,25,Washington R.
0,26,Thrower,LYTLE,1,Atascosa,1891,15,21,Sterling D.
0,28,Henson,LYTLE,5,Atascosa,1900,17,2,Jos. M.
0,15,Henderson,MOTTOMOSA,3,Atascosa,1873,10,24,N. A. V.
0,15,Long,MOTTOMOSA,6,Atascosa,1873,10,18,Wm.
0,15,Atkins,MOTTOMOSA,1,Atascosa,1874,10,16,Geo. F.
0,15,Lyons,PLEASANTON,6,Atascosa,1870,9,3,Coleman
0,15,Johnson,PLEASANTON,5,Atascosa,1874,10,13,Lewis E.
0,17,Ramsay,PLEASANTON,12,Atascosa,1874,10,22,John S.
0,17,Johnston,PLEASANTON,8,Atascosa,1875,10,9,Jos. D.
0,19,Fountain,PLEASANTON,1,Atascosa,1880,11,19,Hartwell C.
0,22,Smith,PLEASANTON,1,Atascosa,1882,13,30,John M.
0,22,Fountain,PLEASANTON,6,Atascosa,1882,13,26,Hartwell C.
