Dif,Ratio
-318,1.0
-212,0.6666666666666666
-212,5.0
-212,1.0
312,3.0
312,2.0
-318,3.0
215,0.2857142857142857
215,3.0
-180,4.0
-180,1.5
-180,3.0
215,2.0
-214,0.6666666666666666
215,2.0
-214,4.0
-180,3.0
-214,3.0
-163,3.0
-163,1.5
-163,2.0
-163,0.5
760,0.75
-638,3.0
-921,4.0
901,2.0
-921,3.0
760,4.0
-638,2.0
760,4.0
760,3.0
-897,2.5
-897,3.0
-897,1.5
-897,4.0
568,5.0
-847,1.5
-163,0.6
-288,0.8
-288,2.3333333333333335
-163,1.0
-163,3.0
-288,3.5
-288,1.1666666666666667
-847,0.6
-847,2.5
-163,1.0
531,3.0
-220,1.6666666666666667
-220,2.0
-964,3.0
531,2.0
-964,2.0
-681,2.0
531,1.0
568,0.5
568,3.0
-681,2.0
-220,3.0
-964,2.0
-964,1.0
-681,5.0
-220,0.5
-681,3.0
531,0.5
-423,1.5
-164,2.5
-272,4.0
-265,1.5
219,1.0
219,3.0
-265,7.0
254,1.6666666666666667
254,5.0
219,1.0
219,0.6666666666666666
-265,2.0
-265,1.5
-45,2.0
-35,2.0
-35,0.6666666666666666
-164,1.0
-164,0.3333333333333333
-164,0.3333333333333333
254,2.0
-423,0.5
-272,0.5
254,2.0
-423,2.0
208,0.6
208,1.6666666666666667
-1220,1.3333333333333333
2650,1.5
-1220,9.0
-1220,5.0
-1660,2.5
2650,0.4
2650,0.75
-1159,1.5
-1159,0.3333333333333333
2178,2.0
2178,1.3333333333333333
-1837,1.0
-1660,2.0
2650,2.0
208,1.3333333333333333
-1220,6.0
-1837,0.6666666666666666
-1837,2.0
2178,1.6666666666666667
2178,1.5
-1159,2.0
-1660,2.0
-1159,2.0
208,1.0
-1660,2.0
-1837,0.5
267,0.3333333333333333
267,1.0
715,7.0
716,1.0
106,1.5
267,1.25
-10,0.3333333333333333
-340,3.0
715,3.0
715,1.0
715,1.5
-1,1.5
-340,5.0
-10,0.5
267,3.0
716,3.0
-10,0.3333333333333333
-1,0.3333333333333333
106,2.0
-10,2.0
-340,3.0
-31,0.5
-1,0.5
-31,1.0
716,0.5
106,1.0
10,2.0
-11,2.0
-43,1.0
-37,0.5
167,2.0
71,3.0
-43,3.0
-192,1.0
-482,2.0
195,3.0
195,3.0
195,2.0
71,1.3333333333333333
-43,3.0
-72,2.0
-482,1.5
-37,0.25
167,4.0
71,2.0
-72,3.0
-72,1.0
-482,2.0
167,2.0
-482,1.0
-37,2.0
-1650,1.3333333333333333
-1207,1.25
-1207,1.6666666666666667
-1207,2.5
-401,1.5
-401,6.0
-739,3.0
1012,1.0
-1341,8.0
1375,0.8
-1650,4.0
-1207,3.0
-401,1.3333333333333333
-401,1.3333333333333333
-1341,2.0
1375,3.0
1012,1.3333333333333333
-1650,1.5
1012,0.25
-1063,1.0
-1650,4.0
-739,0.6666666666666666
-1341,2.0
1375,0.5
-739,1.5
1012,1.5
-1341,3.0
-1063,3.0
-739,2.0
-3971,2.25
-3971,4.0
-2317,0.42857142857142855
-391,1.3333333333333333
-391,3.5
-2317,3.3333333333333335
-3510,2.6666666666666665
-3510,6.0
3511,1.4
-3971,4.0
-2317,2.3333333333333335
3511,5.5
-3530,3.6666666666666665
4463,2.1666666666666665
4463,3.3333333333333335
-4385,2.6
-3510,2.5
-3510,7.0
-3530,1.6666666666666667
-3530,4.666666666666667
4463,1.75
-3971,4.0
-391,0.2857142857142857
-4385,5.333333333333333
-391,1.3333333333333333
3511,2.2
-3530,1.1666666666666667
-4385,3.0
3511,3.3333333333333335
4463,11.0
-4385,4.0
-2317,1.25
223,1.0
234,4.0
151,2.0
223,1.0
234,1.0
-112,1.0
-161,1.0
51,3.0
51,2.0
51,1.0
-112,4.0
-161,3.0
-161,1.0
51,1.0
151,2.0
151,2.0
151,1.0
479,2.0
-173,2.0
263,2.5
-1512,6.0
478,4.0
478,2.0
263,2.0
465,5.0
465,4.0
479,2.0
393,1.5
263,1.0
-1512,5.0
478,1.0
-1512,4.0
263,1.0
465,2.5
-173,3.0
-1512,2.5
-173,1.6666666666666667
479,0.75
479,3.0
393,3.0
393,1.0
478,2.0
465,2.0
-173,0.5
1275,1.3333333333333333
271,6.0
271,1.3333333333333333
-131,0.5
271,2.5
271,2.3333333333333335
1275,0.5
-285,1.5
-152,1.25
-152,1.0
-131,0.6666666666666666
-152,1.5
237,0.6
-355,0.6666666666666666
237,0.6666666666666666
237,4.0
-355,1.3333333333333333
-285,1.0
1032,9.0
-152,2.0
237,3.0
-355,1.5
1032,5.0
-285,1.0
1275,3.0
-355,0.25
1275,4.0
1032,3.0
1032,1.3333333333333333
-131,2.0
-285,2.0
-81,1.0
-234,1.0
-234,0.5
-220,3.0
-220,4.0
-81,2.0
-81,1.0
-234,1.5
-234,2.0
-293,1.5
-238,3.0
-238,3.0
-293,4.0
-293,2.5
-238,1.0
-293,1.5
-826,1.0
-747,1.5
-747,6.0
-747,2.0
1395,1.0
-469,0.2857142857142857
952,3.0
-826,1.5
-708,3.0
-708,5.0
