County,Num,Year
Brazos,6,1894
Brazos,1,1898
Brazos,6,1915
Brazos,3,1917
Brazos,2,1922
Brazos,4,1926
Brazos,2,1928
Brazos,4,1905
Brazos,3,1878
Brazos,4,1883
Brazos,1,1887
Brazos,1,1876
Brazos,1,1913
Brazos,2,1895
Brazos,2,1896
Brazos,3,1925
Brazos,2,1927
Brazos,2,1930
Brazos,4,1892
Brazos,1,1891
Brazos,1,1856
Brazos,2,1875
Brazos,2,1880
Brazos,1,1884
Brazos,2,1900
Brazos,1,1849
Brazos,1,1857
Brazos,1,1859
Brazos,2,1868
Brazos,1,1872
Brazos,1,1873
Brazos,1,1881
Brazos,2,1914
Brazos,2,1899
Brazos,2,1909
Brazos,1,1921
Brazos,1,1929
Brazos,1,1918
Brazos,1,1911
Brazos,1,1897
Brazos,1,1910
Brewster,61,-
Brewster,2,1888
Brewster,1,1890
Brewster,1,1891
Brewster,2,1897
Brewster,1,1898
Brewster,1,1902
Brewster,3,1912
Brewster,3,1913
Brewster,1,1921
Brewster,2,1923
Brewster,4,1904
Brewster,3,1907
Brewster,2,1899
Brewster,1,1900
Brewster,4,1901
Brewster,1,1903
Brewster,2,1906
Brewster,1,1908
Brewster,2,1910
Brewster,2,1924
Brewster,2,1928
Brewster,3,1914
Brewster,2,1916
Brewster,1,1925
Brewster,2,1919
Brewster,1,1922
Brewster,5,1905
Brewster,1,1917
Brewster,2,1909
Brewster,1,1929
Brewster,1,1920
Brewster,1,1931
Briscoe,44,-
Briscoe,3,1892
Briscoe,1,1894
Briscoe,1,1898
Briscoe,3,1906
Briscoe,3,1899
Briscoe,5,1891
Briscoe,1,1907
Briscoe,1,0
Briscoe,1,1919
Briscoe,3,1920
Briscoe,1,1916
Briscoe,1,1903
Briscoe,2,1905
Briscoe,2,1902
Briscoe,1,1908
Briscoe,2,1909
Briscoe,2,1911
Briscoe,2,1915
Briscoe,2,1922
Briscoe,1,1923
Briscoe,1,1930
Briscoe,1,1895
Briscoe,1,1897
Briscoe,1,1904
Briscoe,1,1913
Briscoe,1,1921
Brooks,8,-
Brooks,2,1914
Brooks,1,1915
Brooks,1,1919
Brooks,1,1922
Brooks,1,1928
Brooks,1,1913
Brooks,1,1916
Brown,231,-
Brown,15,1886
Brown,4,1891
Brown,2,1898
Brown,1,0
Brown,6,1899
Brown,7,1900
Brown,2,1912
Brown,4,1917
Brown,5,1921
Brown,4,1901
Brown,6,1902
Brown,4,1903
Brown,6,1904
Brown,3,1907
Brown,5,1909
Brown,4,1913
Brown,2,1875
Brown,3,1883
Brown,9,1885
Brown,3,1888
Brown,4,1889
Brown,5,1890
Brown,1,1893
Brown,2,1897
Brown,7,1914
Brown,3,1922
Brown,1,1905
Brown,4,1911
Brown,1,1916
Brown,4,1920
Brown,2,1858
Brown,2,1859
Brown,1,1860
Brown,1,1862
Brown,1,1868
Brown,2,1870
Brown,1,1871
Brown,1,1872
Brown,1,1874
Brown,8,1879
Brown,4,1881
Brown,10,1884
Brown,3,1894
Brown,1,1923
Brown,2,1924
Brown,4,1929
Brown,5,1896
Brown,1,1925
Brown,3,1877
Brown,10,1880
Brown,5,1882
Brown,4,1895
Brown,2,1892
Brown,2,1908
Brown,2,1927
Brown,2,1928
Brown,4,1876
Brown,2,1878
Brown,3,1918
Brown,2,1919
Brown,4,1915
Brown,2,1931
Brown,2,1910
Brown,3,1887
Brown,1,1906
Brown,1,1930
Buchel,4,-
Buchel,1,1890
Buchel,1,1894
Buchel,1,1887
Buchel,1,1891
Burleson,245,-
