"","Last","First","Office","County","Year","Month","Day","CleanedFirst","Gender","RefineGender"
"266","Avant","Marcus E.","TENNESSEE COLONY","Anderson",1906,"9","24","Marcus","male","male"
"267","Young Jr.","John","TUCKER","Anderson",1882,"1","31","John","male","male"
"268","Johnston","Henry F.","TUCKER","Anderson",1883,"12","10","Henry","male","male"
"269","Glenn","Henry","TUCKER","Anderson",1890,"2","14","Henry","male","male"
"270","Peebles","Thos. H.","TUCKER","Anderson",1892,"3","10","Thos",NA,"male"
"271","Keller","John P. C.","TUCKER","Anderson",1895,"9","6","John","male","male"
"272","McClanahan","Florence M.","TUCKER","Anderson",1900,"4","21","Florence","female","female"
"273","McClanahan","Elizabeth R.","TUCKER","Anderson",1903,"9","26","Elizabeth","female","female"
"274","Keeling","Wm. V.","TUCKER","Anderson",1905,"1","6","Wm",NA,"male"
"275","Hunter","H. J.","WILD CAT BLUFF","Anderson",1859,"12","12","H","male","male"
"276","Hardgrave","Jas. B.","WILD CAT BLUFF","Anderson",1860,"2","3","Jas",NA,"male"
"277","Whatley","Eulicious R.","WILD CAT BLUFF","Anderson",1860,"8","23","Eulicious",NA,"male"
"278","Barry","Geo.","WILD CAT BLUFF","Anderson",1870,"1","12","Geo","male","male"
"279","Gray","Brucy C.","YARD","Anderson",1903,"7","21","Brucy","male","male"
"280","Gray","Peter","YARD","Anderson",1911,"9","14","Peter","male","male"
"281","White","Thos. M.","ANDREWS","Andrews",1909,"1","20","Thos",NA,"male"
"282","Brown","Aubrey N.","ANDREWS","Andrews",1911,"4","10","Aubrey","male","male"
"283","Haag","Edmund L.","ANDREWS","Andrews",1915,"1","13","Edmund","male","male"
"284","Irwin","Mary H.","ANDREWS","Andrews",1919,"8","28","Mary","female","female"
"285","Wilson","Roy","ANDREWS","Andrews",1921,"8","24","Roy","male","male"
"286","Mathews","Florence","ANDREWS","Andrews",1926,"3","26","Florence","female","female"
"287","Louis","Florence M.","ANDREWS","Andrews",1929,"2","5","Florence","female","female"
"288","Burkett","Edgar W.","ANDREWS","Andrews",1931,"4","28","Edgar","male","male"
"289","Taylor","Arthur H.","ETHEL","Andrews",1908,"3","21","Arthur","male","male"
"290","Gaines","J. Grundy","ETHEL","Andrews",1908,"7","30","J","male","male"
"291","Smith","Lee N.","FLOREY","Andrews",1909,"1","18","Lee","male","male"
"292","Wilson","Wm. A.","FLOREY","Andrews",1909,"11","22","Wm",NA,"male"
"293","Gilbert","John B.","FLOREY","Andrews",1910,"11","19","John","male","male"
"294","Florey","Carrie E.","FLOREY","Andrews",1913,"5","19","Carrie","female","female"
"295","Clewis","John D.","FLOREY","Andrews",1917,"1","4","John","male","male"
"296","Carter","Jas. P.","FLOREY","Andrews",1920,"5","4","Jas",NA,"male"
"297","Dunaway","Chas. F.","FLOREY","Andrews",1921,"6","24","Chas",NA,"male"
"298","Myrick","Ethel V.","FLOREY","Andrews",1923,"11","30","Ethel","female","female"
"299","Lane","Dollie","FLOREY","Andrews",1927,"4","23","Dollie","female","female"
"300","Wooley","Henry H.","FLOREY","Andrews",1927,"10","24","Henry","male","male"
"301","Wooley","Mrs. Lorena","FLOREY","Andrews",1931,"10","12","Lorena","female","female"
"302","Van Hollebeke","Pierre","HOLLEBEKE","Andrews",1903,"8","14","Pierre","male","male"
"303","Williamson","Esquire T.","HOLLEBEKE","Andrews",1906,"8","21","Esquire","male","male"
"304","Logsdon","Minnie W.","LOGSDON","Andrews",1908,"6","23","Minnie","female","female"
"305","Logsdon","Ethel N.","LOGSDON","Andrews",1914,"3","31","Ethel","female","female"
"306","Hoover","Evalena","LOGSDON","Andrews",1915,"10","15","Evalena","female","female"
"307","Irwin","Bert M.","SHAFTER LAKE","Andrews",1907,"7","19","Bert","male","male"
"308","Wagner","Jimmie","SHAFTER LAKE","Andrews",1910,"8","26","Jimmie","male","male"
"309","Irwin","John W.","SHAFTER LAKE","Andrews",1911,"1","6","John","male","male"
"310","Johnson","Benj. A.","SHAFTER LAKE","Andrews",1915,"2","17","Benj","male","male"
"311","Murphy","Virgil W.","SHAFTER LAKE","Andrews",1928,"12","19","Virgil","male","male"
