ChangeNum,Name,EstNum,Year
3,Bosque,0,1924
5,Bosque,0,1927
2,Bosque,0,1928
3,Bosque,0,1929
1,Bosque,2,1858
2,Bosque,0,1862
3,Bosque,0,1890
5,Bosque,1,1898
1,Bosque,1,1901
2,Bosque,2,1902
4,Bosque,2,1887
4,Bosque,0,1891
2,Bosque,1,1894
5,Bosque,0,1896
4,Bosque,0,1903
2,Bosque,0,1906
3,Bosque,0,1907
3,Bosque,0,1911
0,Bosque,1,1857
5,Bosque,2,1873
2,Bosque,5,1880
1,Bosque,0,1915
6,Bosque,0,1913
3,Bosque,0,1872
2,Bosque,0,1923
1,Bosque,0,1931
1,Bosque,1,1860
2,Bosque,1,1864
0,Bosque,1,1856
1,Bosque,0,1863
5,Bosque,0,1900
2,Bosque,0,1918
1,Bosque,0,1908
1,Bosque,0,1895
2,Bosque,1,1883
2,Bosque,0,1925
2,Bosque,0,1930
1,Bosque,0,1905
1,Bosque,0,1904
5,Bowie,1,1896
205,Bowie,74,-
4,Bowie,2,1897
7,Bowie,2,1898
3,Bowie,0,1899
5,Bowie,3,1900
0,Bowie,1,1865
2,Bowie,3,1882
3,Bowie,1,1883
5,Bowie,3,1894
7,Bowie,3,1901
4,Bowie,3,1902
3,Bowie,0,1912
3,Bowie,0,1913
4,Bowie,0,1916
4,Bowie,0,1917
4,Bowie,0,1920
2,Bowie,0,1921
5,Bowie,0,0
1,Bowie,4,1846
1,Bowie,1,1848
2,Bowie,1,1850
1,Bowie,0,1852
1,Bowie,0,1856
2,Bowie,0,1861
2,Bowie,0,1864
1,Bowie,0,1866
2,Bowie,1,1867
1,Bowie,0,1868
1,Bowie,1,1869
4,Bowie,1,1875
2,Bowie,1,1876
4,Bowie,3,1877
1,Bowie,1,1878
4,Bowie,2,1884
5,Bowie,1,1888
7,Bowie,4,1893
4,Bowie,1,1911
2,Bowie,0,1922
5,Bowie,0,1924
2,Bowie,0,1931
1,Bowie,2,1887
7,Bowie,5,1890
5,Bowie,1,1907
7,Bowie,1,1886
4,Bowie,1,1895
4,Bowie,0,1923
1,Bowie,0,1929
3,Bowie,1,1885
2,Bowie,2,1905
0,Bowie,2,1860
3,Bowie,0,1862
2,Bowie,0,1925
1,Bowie,0,1847
1,Bowie,0,1870
1,Bowie,1,1880
2,Bowie,1,1881
3,Bowie,1,1903
1,Bowie,0,1908
1,Bowie,0,1919
3,Bowie,1,1904
3,Bowie,0,1909
3,Bowie,0,1914
4,Bowie,0,1918
2,Bowie,0,1927
2,Bowie,1,1873
4,Bowie,2,1874
1,Bowie,0,1932
2,Bowie,2,1851
2,Bowie,0,1855
1,Bowie,0,1857
0,Bowie,1,1871
0,Bowie,3,1906
1,Bowie,0,1879
2,Bowie,1,1892
0,Bowie,1,1891
1,Bowie,0,1915
3,Brazoria,1,1908
236,Brazoria,81,-
3,Brazoria,1,1881
1,Brazoria,2,1891
5,Brazoria,2,1898
7,Brazoria,0,1903
5,Brazoria,2,1913
3,Brazoria,1,1922
3,Brazoria,4,1897
3,Brazoria,0,1902
2,Brazoria,0,1904
3,Brazoria,0,1901
5,Brazoria,2,1910
3,Brazoria,3,1911
4,Brazoria,1,1912
5,Brazoria,0,1915
5,Brazoria,1,1919
3,Brazoria,2,1892
2,Brazoria,0,1907
4,Brazoria,0,1924
0,Brazoria,3,1877
