Post Office,County1,County2,County3,State,Region,Subregion,Established,Discontinued,Stamp Rarity Factor,Continuous,GNIS_Match,Score,GNIS_ID,GNIS_Feature,GNIS_Type,GNIS_County,GNIS_State,Latitude,Longitude,Coordinates
ALPHA,Fannin,,,TX,Midwest,South Midwest,1883,1884,7,Y,FALSE,,,,,,,,,N
ALPHA,Coke,,,TX,Midwest,South Midwest,1890,1891,7,Y,FALSE,,,,,,,,,N
ALPHA,Dallas,,,TX,Midwest,South Midwest,1893,1904,5,Y,FALSE,,,,,,,,,N
ALPHA,Hutchinson,,,TX,Midwest,South Midwest,1910,1915,5,Y,FALSE,,,,,,,,,N
ALPINE,Brewster,,,TX,Midwest,South Midwest,1888,,0,Y,TRUE,100,2731516,Alpine Post Office,Post Office,Brewster,TX,30.355467,-103.670155,Y
ALSA,Van Zandt,,,TX,Midwest,South Midwest,1894,1907,5,Y,TRUE,100,1377928,Alsa,Populated Place,Van Zandt,TX,32.8184581,-96.0338585,Y
ALSDORF,Ellis,,,TX,Midwest,South Midwest,1895,1920,3,Y,TRUE,100,1377929,Alsdorf,Populated Place,Ellis,TX,32.4051418,-96.5358216,Y
ALSOBROOKS,Tyler,,,TX,Midwest,South Midwest,1887,1891,7,Y,FALSE,,,,,,,,,N
ALTA LOMA,Galveston,,,TX,Midwest,South Midwest,1894,1982,1,Y,TRUE,100,1351043,Alta Loma,Populated Place,Galveston,TX,29.3780129,-95.1057625,Y
ALTA SPRINGS,Falls,,,TX,Midwest,South Midwest,1844,1868,7,Y,TRUE,91.66666667,1379336,Alto Springs,Populated Place,Falls,TX,31.2860113,-96.6705351,Y
ALTAIR,Colorado,,,TX,Midwest,South Midwest,1891,,0,Y,TRUE,100,2731091,Altair Post Office,Post Office,Colorado,TX,29.569316,-96.464246,Y
ALTAVISTA,Jim Hogg,,,TX,Midwest,South Midwest,1906,1935,2,Y,FALSE,,,,,,,,,N
ALTHEA,Bell,,,TX,Midwest,South Midwest,1900,1904,6,Y,FALSE,,,,,,,,,N
ALTMAN,Erath,,,TX,Midwest,South Midwest,1899,1906,5,Y,TRUE,100,1329449,Altman Cemetery,Cemetery,Erath,TX,31.9712583,-98.1628156,Y
ALTMAN,Moore,,,TX,Midwest,South Midwest,1930,1931,4,Y,FALSE,,,,,,,,,N
ALTO,Cherokee,,,TX,Midwest,South Midwest,1852,,0,Y,TRUE,100,2732235,Alto Post Office,Post Office,Cherokee,TX,31.6493309,-95.0733269,Y
ALTOGA,Collin,,,TX,Midwest,South Midwest,1899,1937,2,Y,TRUE,100,1372286,Altoga,Populated Place,Collin,TX,33.2498367,-96.4894304,Y
ALTON,Denton,,,TX,Midwest,South Midwest,1848,1859,7,Y,FALSE,,,,,,,,,N
ALTON,Hidalgo,,,TX,Midwest,South Midwest,1913,1915,5,Y,TRUE,100,1983995,Alton Elementary School,School,Hidalgo,TX,26.2156525,-98.3085046,Y
ALTONIA,San Augustine,,,TX,Midwest,South Midwest,1895,1917,4,Y,FALSE,,,,,,,,,N
ALTURA,El Paso,,,TX,Midwest,South Midwest,1908,1915,4,Y,FALSE,,,,,,,,,N
ALUM,Wilson,,,TX,Midwest,South Midwest,1905,1906,6,Y,TRUE,100,1379337,Alum,Populated Place,Wilson,TX,29.2952397,-97.9647261,Y
ALUM CREEK,Bastrop,,,TX,Midwest,South Midwest,1851,1898,6,Y,TRUE,100,1377933,Alum Creek,Populated Place,Bastrop,TX,30.0677188,-97.2174895,Y
ALVARADO,Johnson,,,TX,Midwest,South Midwest,1854,,0,Y,TRUE,100,2731255,Alvarado Post Office,Post Office,Johnson,TX,32.41565,-97.210747,Y
ALVERDE,Lampasas,,,TX,Midwest,South Midwest,1906,1907,6,Y,FALSE,,,,,,,,,N
ALVIN,Brazoria,,,TX,Midwest,South Midwest,1881,,0,Y,TRUE,100,2731112,Alvin Post Office,Post Office,Brazoria,TX,29.419155,-95.240287,Y
ALVORD,Wise,,,TX,Midwest,South Midwest,1882,,0,Y,TRUE,100,2731992,Alvord Post Office,Post Office,Wise,TX,33.3597639,-97.6962805,Y
AMANDA,McLennan,,,TX,Midwest,South Midwest,1864,,9,Y,FALSE,,,,,,,,,N
AMANDA,Kinney,,,TX,Midwest,South Midwest,1888,1890,7,Y,TRUE,100,1380818,Amanda,Populated Place,Kinney,TX,29.3718985,-100.6578651,Y
